FAO_Code,Name,MIRCA_Class,HS6
68,Popcorn,2,HS100510
636,Maize for forage and silage,2,HS121490
637,Sorghum for forage,7,HS121490
156,Sugarcane,12,HS121299
157,Sugarbeets,13,HS121291
195,Cowpeasdry,17,HS071339
197,Pigeonpeas,17,HS071390
210,Lupins,17,HS121490
511,Citrus fruit nes,18,HS080590
226,Areca Nuts Betel,24,HS080290
275,Tung Nuts,24,HS120799
310,Kapok fruit,24,HS120799
461,Carobs,24,HS121299
541,Stone Fruit other,24,HS081090
547,Raspberries,24,HS081020
591,Cashewapple,24,HS081090
777,Hemp fibre and tow,24,HS530210
800,Agave fibres nes,24,HS530500
821,Fibre crops nes,24,HS530500
638,Rye for forage,5,HS121490
639,Grasses nes for forage,25,HS121490
640,Clover for forage,25,HS121490
92,Quinoa,25,HS100890
135,Yautia CoHyam,26,HS071490
136,Taro Cocoyam,26,HS071490
299,Melonseed,26,HS120799
420,Broad Beans Green,26,HS070890
423,String Beans,26,HS070820
430,Okra,26,HS070990
459,Chicory Roots,26,HS121299
558,Berries,26,HS081020
641,Alfalfa for forage,26,HS121490
642,Greenoil seeds for silage,26,HS121490
643,Legumes for silage,26,HS121490
644,Cabbage for fodder,26,HS121490
647,Beets for fodder,26,HS121490
648,Carrots for fodder,26,HS121490
649,Swedes for fodder,26,HS121490
655,Vegetables roots fodder nes,26,HS121490
773,Flax fibre and tow,26,HS530121
778,Kapok fibre,26,HS530500
782,Jute Like Fibers,26,HS530310
788,Ramie,26,HS530500
789,Sisal,26,HS530500
813,Coir,26,HS530500
839,Natural Gums,26,HS400130
